Num_document;Date;Nom;Matricule_fiscal;Adresse;Latitude;Longitude;Type
BL25-03;2025-03-11;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;36.84950600;10.19510200;BL
BL25-11;2025-03-17;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;36.84950600;10.19510200;BL
BL25-12;2025-03-21;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;36.84950600;10.19510200;BL
BL25-19;2025-03-26;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;36.84950600;10.19510200;BL
BL25-35;2025-04-03;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;36.84950600;10.19510200;BL
BL25-37;2025-04-15;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;36.84950600;10.19510200;BL
BL25-23;2025-03-28;Attijari Alyssa Sokra;000121J/P/M000;Groupe Alyssa, Soukra (côté agence Soukra 114);36.83333000;10.25000000;BL
BL25-21;2025-03-26;Attijari Bizerte;000121J/P/M000;Bureau 406 Bloc B Immeuble Business Center Avenue Hassen NOURI 7000 Bizerte;37.27442000;9.87391000;BL
BL25-25;2025-03-28;Attijari CA AV Paris;000121J/P/M000;Avenue de Paris (Mezzanine);36.80286900;10.18091600;BL
BL25-18;2025-03-25;Attijari Cap Bon;000121J/P/M000;27 av habib thameur nabeul;36.45606000;10.73763000;BL
BL25-17;2025-03-24;Centres d'affaires Centre & Cap bon;000121J/P/M000;Centre d affaires av habib Bourguiba sousse;35.82540000;10.63600000;BL
BL25-16;2025-03-24;Attijari Bank Direction Régionale Centre & Cap Bon;000121J/P/M000;IMM Diamond bleu route touristique Sousse;35.82540000;10.63600000;BL
BL25-09;2025-03-15;Attijari Gafsa;000121J/P/M000;Attijari Bank Gafsa Place du marché 2100;34.42500000;8.78417000;BL
BL25-06;2025-03-12;Attijari Groupe Al Aghaliba;000121J/P/M002;AGENCE KAIROUAN près ABI ZAMAA EL BELAOUI kairouan;35.67810000;10.09690000;BL
BL25-04;2025-03-12;Attijari groupe Elksour;000121J/P/M000;AVENUE HABIB BOURGUIBA - MEDENINE, 4100;33.13740800;11.21871300;BL
BL25-05;2025-03-12;Attijari Groupe oasis;000121J/P/M001;Avenue Habib Bourguiba Attijari Bank Gabes 6000;33.88346000;10.09818000;BL
BL25-26;2025-03-28;Attijari Lafayette;000121J/P/M000;Ennasr (à l'étage de agence Ennasr 107);36.83472000;10.15694000;BL
BL25-27;2025-03-28;Attijari les jasmins;000121J/P/M000;10 Avenue charles Nicole menzah 1 (ou agence 162);36.83472000;10.15694000;BL
BL25-24;2025-03-28;Attijari Maxula;000121J/P/M000;Avenue de Paris 5ème étage;36.80286900;10.18091600;BL
BL25-22;2025-03-27;Attijari Menzah;000121J/P/M000;Région de Tunis Menzeh 5 SMR;36.83472000;10.15694000;BL
BL25-14;2025-03-24;Attijari Monastir;000121J/P/M000;AGENCE MONASTIR IMM Star AV HABIB BOURGUIBA Monastir;35.63322100;10.89860700;BL
BL25-20;2025-03-26;Attijari nord ouest;000121J/P/M000;Rue habib thameur Jendouba 8100;36.50000000;8.78333000;BL
BL25-36;2025-04-03;Attijari sfax;000121J/P/M000;Rue Mohamed Moalla la Poudrière , champ de course Sfax;34.74981700;10.76861400;BL
BL25-10;2025-03-15;Attijari sfax;000121J/P/M000;Rue Mohamed Moalla la Poudrière , champ de course Sfax;34.74981700;10.76861400;BL
BL25-15;2025-03-24;Attijari Sousse Jawhara;000121J/P/M000;AG BAB JEDID AV habib thameur bab jedid sousse;35.82540000;10.63600000;BL
BL25-07;2025-03-14;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;36.84950600;10.19510200;BL
BL25-08;2025-03-15;Attijari Bank;000121J/P/M000;Immeuble Sun Médical Centre, rue de la municipalité 4180 Houmet Souk - Djerba;33.87991600;10.86242700;BL
BL25-28;2025-04-02;Attijari Bank CA BELVEDERE;000121J/P/M000;Place Pasteur;36.82172300;10.17862300;BL
BL25-29;2025-04-02;Attijari Bank CA MEGRINE;000121J/P/M000;Angle avenue de France GP1 Ben Arous;36.75723100;10.24473400;BL
BL25-30;2025-04-02;Attijari Bank , centres d'affaires Régions Tunis;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;36.84950600;10.19510200;BL
BL25-31;2025-04-02;Attijari Bank Charguia;000121J/P/M000;CA 080 : rue 8600 Z.I charguia I;36.84860000;10.24190000;BL
BL25-31;2025-04-02;Attijari Bank , Direction Régionale Tunis & Nord;000121J/P/M000;avenue 20 mars le bardo (ou agence 075);36.81427500;10.13742500;BL
BL25-31;2025-04-02;Groupe Hannibal;000121J/P/M000;avenue 20 mars le bardo (ou agence 075);36.81427500;10.13742500;BL
BL24-02;2024-12-10;WIFAK INTERNATIONAL BANK;0798651L/P/M/000;Zone D'activités Kheireddine, Les Berges du Lac III 2015 Kram;36.80020700;10.18577600;BL
BL25-29;2025-11-18;Lilas;492586 Z/A/M/000;5 Rue de l'énergie éolienne ZI Charguia 1 , Tunis Carthage 2035;36.86140000;10.32900000;BL
BL25-31;2025-12-12;SBCD;849384V/A/M/000;Avenue Taher B,Ammar cité Essada 2 , 1092, Manar 2 , Tunis;36.80020700;10.18577600;BL
BL25-32;2025-12-15;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;36.80020700;10.18577600;BL
BL25-30;2025-12-10;T T E INTERNATIONAL;745311C/A/M/000;Zone Industrielle El Azib Km9 , 7026 Bizerte;37.27209000;9.87085700;BL
