fournisseur;matricule_fiscal;telephones;num_facture;date_facture;montant_ht;tva;timbre;montant_ttc;reste_du;extraction_method;confidence_score
LEM;6724444YYI570;25 727 075;FAC/2024/000001;08/11/2024;0.210;0.040;1.000;1.250;1.250;ocr;0.73
KOBOX;6147408HEE953;+216 55 466 087, 28 326 030, 55 466 087;FAC-242412;09/12/2024;207.500;39.425;1.000;247.925;247.925;ocr;0.93
KOBOX;6147408HEE953;+216 55 466 087, 28 326 030, 55 466 087;FAC-242381;05/12/2024;1335.000;253.650;1.000;1589.650;1589.650;ocr;1.00
SBCD;1778859VZP984;70 732 580;FAC/2024/000002;Non trouvé;595.798;113.202;1.000;710.000;710.000;ocr;0.73
SBCD;1778859VZP984;70 732 580;FAC/2024/000003;Non trouvé;59.415;11.289;1.000;71.704;71.704;ocr;0.73
SBCD;1778859VZP984;70 732 580;FAC/2024/000004;23/12/2024;158.824;30.176;1.000;190.000;190.000;ocr;0.80
SONEDE;5462037TCD626;70 732 580;2406665915;01/06/2024;161.206;12.214;1.000;174.420;174.420;pdfplumber;1.00
KARIM;9942776VNQ635;28 885 805;FAC/2024/000005;Non trouvé;0.000;0.000;1.000;0.000;0.000;ocr;0.93
ORANGE TUNISIE;8288626CVM234;Non trouvé;2408321262;01/08/2024;161.206;12.214;1.000;174.420;174.420;pdfplumber;1.00
ORANGE TUNISIE;8288626CVM234;Non trouvé;2407310086;01/07/2024;73.996;12.214;1.000;87.210;87.210;pdfplumber;1.00
REPAS;4269485KTD485;20 072 072;FAC/2024/000006;27/11/2024;163.500;19.000;1.000;183.500;183.500;ocr;0.71
ORANGE TUNISIE;8288626CVM234;Non trouvé;2410335026;01/10/2024;161.206;12.214;1.000;174.420;174.420;pdfplumber;1.00
ORANGE TUNISIE;8288626CVM234;Non trouvé;2409312465;01/09/2024;73.996;12.214;1.000;87.210;87.210;pdfplumber;1.00
STEG;2327511HXC335;Non trouvé;FAC/2024/000007;13/09/2024;527.832;100.288;1.000;629.120;629.120;ocr;0.87
ORANGE TUNISIE;8288626CVM234;Non trouvé;FAC/2024/000008;01/11/2024;73.996;12.214;1.000;87.210;87.210;pdfplumber;1.00
