Num_facture;Reference;Description;PU_HT;Quantite;Prix_Total_HT
DEV25-01;BVC-001;Bonbonniére en verre craquelé + couvercle en cuivre;66.5;850;56525.0
DEV25-01;LIV;Frais de Livraison;1500.0;1;1500.0
DEV25-05;EB-001;Elémént de bureau en Bois;25.0;150;3750.0
FAC25-07;BVC-001;Bonbonnière en verre craquelé+ couvercle en cuivre;66.5;850;56525.0
FAC25-07;LIV;Frais de Livraison;1500.0;1;1500.0
FAC25-10;BVC-001;Bonbonnière en verre craquelé + Couvercle en cuivre;66.5;850;56525.0
FAC25-10;LIV;Frais de Livraison;1500.0;1;1500.0
FAC25-12;BVC-001;Bonbonnière en verre craquelé + Couvercle en cuivre;66.5;850;56525.0
FAC25-12;LIV;Frais de Livraison;1500.0;1;1500.0
DEV25-04;BVC-001;Bonbonnière en verre craquelé+ couvercle en cuivre;66.5;33;2194.5
FAC25-11;BVC-001;Bonbonnière en verre craquelé + Couvercle en cuivre;66.5;33;2194.5
DEV25-08;SM-001;Saphir Majesté;220.0;5;1100.0
DEV25-08;AI-001;Azur Impérial;170.0;15;2550.0
DEV25-08;IMP-001;Impérial d'or;170.0;20;3400.0
DEV25-08;Pers;Packaging & personnalisation;425.0;1;425.0
DEV25-13;CP-01;Coffret en bois personnalisé;15.0;20;300.0
FAC25-32;SM-001;Saphir Majesté;220.0;5;1100.0
FAC25-32;AI-001;Azur Impérial;170.0;15;2550.0
FAC25-32;IMP-001;Impérial d'or;170.0;20;3400.0
FAC25-32;Pers;Packaging & personnalisation;425.0;1;425.0
FAC25-36;Pac-002;Coffret Personnalisé;15.0;20;300.0
FAC25-37;SM-001;Saphir Majesté;220.0;5;1100.0
FAC25-37;AI-001;Azur Impérial;170.0;15;2550.0
FAC25-37;IMP-001;Impérial d'or;170.0;20;3400.0
FAC25-37;Pers;Packaging & personnalisation;425.0;1;425.0
FAC25-13;SS-MT-01;Jeu De Mimes - يسنوتلاب ميم - Jeu D'ambiance;48.73;1;48.73
FAC25-13;JA-001-ACH;L'archive - فيشرل;40.33;2;80.66
FAC25-13;SS-TT-001;TALA3 BITOUNSI - يسنوتلاب عّلط;40.33;1;40.33
