source;product_id;product_name;price;currency;categories;product_url;image_url;scrape_date,,,,
Kalys;;Sélection de verres Lella craquelé Bleu foncé;99.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/selection-de-verres-lella-craquele-bleu-fonce/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201024%201024'%2F%3E;03:38.2,,
Kalys;;Pack Vera Craquelé;211.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/pack-vera-craquele/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201024%201024'%2F%3E;03:38.0,,
Kalys;;Pack Lella Marbré Miel;220.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/pack-lella-marbre-miel/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201123%201123'%2F%3E;03:38.2,,
Kalys;;Diffuseur Nour;55.000TND;TND;bougies-et-senteurs, la-touche-deco;https://www.kalys-designstore.com/produit/diffuseur-noor/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20753%20753'%2F%3E;03:38.2,,
Kalys;;Coffret ROMA Prestige;220.000TND;TND;coffrets-cadeaux, prestige;https://www.kalys-designstore.com/produit/coffret-roma-prestige/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20876%20876'%2F%3E;03:38.2,,
Kalys;;Coffret ROMA;90.000TND;TND;coffrets-cadeaux, premium;https://www.kalys-designstore.com/produit/coffret-roma/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201500%201500'%2F%3E;03:38.2,,
Kalys;;Diffuseur Roma;35.000TND;TND;bougies-et-senteurs, la-touche-deco;https://www.kalys-designstore.com/produit/diffuseur-roma-2/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201236%201236'%2F%3E;03:38.2,,
Kalys;;Pack Roma;47.000TND;TND;coffrets-cadeaux, les-essentiels-coffrets-cadeaux;https://www.kalys-designstore.com/produit/diffuseur-roma/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201236%201236'%2F%3E;03:38.2,,
Kalys;;Duo Lella Marbré;140.000TND;TND;coffrets-cadeaux, prestige;https://www.kalys-designstore.com/produit/duo-lella-marbre/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201500%201500'%2F%3E;03:38.2,,
Kalys;;Duo Vera;137.000TND;TND;coffrets-cadeaux, prestige;https://www.kalys-designstore.com/produit/duo-vera/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201500%201500'%2F%3E;03:38.2,,
